model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
dsgdpp-Netflix-100-reg-1.0,1,17770,480189,100,5,0,2400945,5298628298,0.30891,1.66961,335.792,337.77
dsgdpp-Netflix-100-reg-1.0,1,17770,480189,100,50,0,24009450,7591160497,0.420212,2.13679,437.595,440.152
dsgdpp-Netflix-100-reg-10.0,1,17770,480189,100,1,0,480189,201040343,0.243557,0.12673,22.7171,23.0874
dsgdpp-Netflix-100-reg-10.0,1,17770,480189,100,10,0,4801890,1168451985,0.277232,0.408642,80.4287,81.1146
dsgdpp-Netflix-100-reg-10.0,1,17770,480189,100,5,0,2400945,819627696,0.263216,0.294347,59.6414,60.199
dsgdpp-Netflix-100-reg-10.0,1,17770,480189,100,50,0,24009450,2153585256,0.381911,0.698102,132.908,133.988
dsgdpp-Netflix-100-reg-5.0,1,17770,480189,100,1,0,480189,1309309347,0.285515,0.559416,105.307,106.152
dsgdpp-Netflix-100-reg-5.0,1,17770,480189,100,10,0,4801890,2611932879,0.314492,0.948406,180.95,182.213
dsgdpp-Netflix-100-reg-5.0,1,17770,480189,100,5,0,2400945,1923317750,0.296947,0.798591,146.517,147.612
dsgdpp-Netflix-100-reg-5.0,1,17770,480189,100,50,0,24009450,4372163029,0.415015,1.34799,272.327,274.09
dsgdpp-Netflix-25-reg-0.05,1,17770,480189,25,10,0,4801890,1318161274,0.106923,0.19189,46.1333,46.4321
dsgdpp-Netflix-25-reg-0.05,1,17770,480189,25,5,0,2400945,431540192,0.091811,0.14908,34.9619,35.2028
dsgdpp-Netflix-25-reg-0.05,1,17770,480189,25,50,0,24009450,2688999455,0.205292,0.339123,76.4596,77.004
dsgdpp-Netflix-25-reg-0.5,1,17770,480189,25,1,0,480189,280762984,0.086314,0.122394,28.6475,28.8562
dsgdpp-Netflix-25-reg-0.5,1,17770,480189,25,10,0,4801890,1848040264,0.108435,0.256239,60.5513,60.916
dsgdpp-Netflix-25-reg-0.5,1,17770,480189,25,5,0,2400945,963999082,0.094947,0.199651,47.9249,48.2195
